Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
Bulgaria,1295426,38179,1254491,2756,10987749,6844597
Morocco,1272240,16296,1255881,63,12930733,37772756
Croatia,1267580,17877,1249168,535,5476183,4059286
Lebanon,1228639,10790,1087587,130262,4795578,6684849
Guatemala,1227853,20106,1204545,3202,6757892,18584039
Bolivia,1187986,22346,1146143,19497,2705422,11992656
Costa Rica,1186176,9158,860711,316307,4659757,5182354
Cuba,1112438,8530,1103799,109,14298479,11305652
Ecuador,1051239,35942,1011682,3615,3082403,18113361
UAE,1049409,2348,1032735,14326,198638806,10081785
Uruguay,1032710,7609,1023939,1162,6114822,3496016
Panama,1029701,8596,1020206,899,7475016,4446964
Mongolia,1007871,2179,1005658,34,4030048,3378078
Nepal,1001102,12020,989064,18,6003944,30225582
Belarus,994037,7118,985592,1327,13646641,9432800
Latvia,975355,6218,968830,307,7858319,1848837
Saudi Arabia,827962,9574,815528,2860,45048008,35844909
Azerbaijan,827944,10085,817654,205,7487550,10300205
Bahrain,700452,1543,698400,509,10682444,1783983
Sri Lanka,671989,16828,655158,3,6486117,21575842
Kuwait,662858,2570,660237,51,8455743,4380326
Dominican Republic,660095,4384,644785,10926,3740928,11056370
Cyprus,642663,1287,633422,7954,9640118,1223387
Myanmar,633820,19490,614299,31,9941945,55227143
Palestine,621008,5404,615445,159,3078533,5345541
Estonia,613891,2912,524990,85989,3659157,1321910
Moldova,598673,11953,504142,82578,3216305,4013171
Venezuela,551587,5845,545003,739,3359014,29266991
Egypt,515645,24613,442182,48850,3693367,106156692
Libya,507162,6437,500721,4,2483446,7040745
Ethiopia,499531,7572,486531,5428,5459809,120812698
Qatar,492534,686,491585,263,4065369,2979915
Réunion,485895,919,418572,66404,1603660,908061
Armenia,446008,8717,435162,2129,3242901,2971966
Bosnia and Herzegovina,401384,16255,379084,6045,1884721,3249317
Oman,399449,4628,384669,10152,25000000,5323993
North Macedonia,346428,9638,336623,167,2216193,2081304
Kenya,342810,5688,337040,82,3967062,56215221
Zambia,340763,4047,335104,1612,3865993,19470234
Albania,334167,3595,328951,1621,1941032,2866374
Botswana,329227,2800,325934,493,2026898,2441162
Luxembourg,297757,1133,288991,7633,4412567,642371
Montenegro,286355,2797,283210,348,2697814,627950
Brunei,275220,225,243601,31394,717784,445431
Algeria,271378,6881,182749,81748,230861,45350148
Nigeria,266463,3155,259850,3458,5708974,216746934
Zimbabwe,261606,5652,254951,1003,2525756,15331428
Uzbekistan,250567,1637,241486,7444,1377915,34382084
Mozambique,231994,2233,228805,956,1371127,33089461
Afghanistan,208545,7882,186088,14575,1188898,40754388
Kyrgyzstan,206592,2991,196406,7195,1907195,6728271
El Salvador,201785,4230,179410,18145,2610114,6550389
Trinidad and Tobago,187908,4326,183264,318,888936,1406585
Maldives,185715,311,163687,21717,2213831,540985
Ghana,171112,1462,169636,14,2527319,32395450
Namibia,170741,4088,166452,201,1062663,2633874
Uganda,170400,3630,100431,66339,3012408,48432863
Jamaica,153407,3480,102212,47715,1183986,2985094
Cambodia,138693,3056,135624,13,3091420,17168639
Rwanda,133090,1468,131559,63,5959042,13600464
Cameroon,123993,1965,118616,3412,1751774,27911548
Malta,117062,824,115623,615,2109235,444033
Barbados,106157,571,105570,16,790354,288023
Angola,105184,1931,103216,37,1499795,35027343
Channel Islands,101116,223,100778,115,1252808,176463
French Guiana,98028,420,11254,86354,651257,314169
DRC,95514,1463,84264,9787,846704,95240792
Senegal,88902,1971,86929,2,1146543,17653671
Malawi,88559,2686,85369,504,624784,20180839
Ivory Coast,87982,833,87138,11,1671684,27742298
New Caledonia,79845,314,79526,5,98964,290915
Eswatini,74133,1422,72676,35,1048704,1184817
Guyana,72950,1294,71357,299,717867,794045
Belize,70660,688,69949,23,576016,412190
Fiji,68820,883,66780,1157,667715,909466
Madagascar,67827,1419,66370,38,524209,29178077
Sudan,63742,5001,58284,457,562941,45992020
Mauritania,63665,997,62437,231,1009957,4901981
Cabo Verde,63229,413,62756,60,401622,567678
Bhutan,62605,21,61564,1020,2303734,787941
Syria,57453,3164,54289,0,146269,19364809
Burundi,53492,38,53394,60,345742,12624840
Gabon,48981,306,48674,1,1621909,2331533
Andorra,47839,165,47563,111,249838,77463
Papua New Guinea,46750,670,43982,2098,249149,9292169
Curaçao,45986,295,44720,971,496693,165529
Aruba,43993,236,42438,1319,177885,107609
Mauritius,41652,1043,39943,666,358675,1274727
Togo,39354,290,39061,3,806803,8680837
Guinea,38240,467,37757,16,660107,13865691
Bahamas,37491,833,36366,292,257839,400516
Lesotho,34790,723,25980,8087,431221,2175699
Haiti,34076,860,33033,183,132422,11680283
Mali,32783,743,31957,83,789342,21473764
Cayman Islands,31472,37,8553,22882,222773,67277
Saint Lucia,29803,409,29095,299,210983,185113
Benin,27989,163,27823,3,604310,12784726
Somalia,27318,1361,13182,12775,400466,16841795
Congo,25375,386,24006,983,347815,5797805
San Marino,23427,122,23276,29,157634,34085
Timor-Leste,23415,138,23102,175,278529,1369429
Burkina Faso,22025,396,21596,33,248995,22102838
Liechtenstein,21340,89,21237,14,112457,38387
Gibraltar,20399,111,16579,3709,534283,33704
Grenada,19680,238,19358,84,182981,113475
Bermuda,18766,157,18593,16,1024947,61939
South Sudan,18368,138,18115,115,410280,11618511
Equatorial Guinea,17190,183,16883,124,365697,1496662
Tonga,16734,13,15638,1083,535009,107749
Samoa,16087,29,1605,14453,187397,202239
Monaco,16056,65,15982,9,78646,39783
Dominica,15760,74,15673,13,229344,72344
Djibouti,15690,189,15427,74,305941,1016097
CAR,15368,113,15200,55,81294,5016678
Gambia,12586,372,12189,25,155686,2558482
Saint Martin,12233,63,1399,10771,112382,39730
Vanuatu,12014,14,11976,24,24976,321832
Greenland,11971,21,2761,9189,164926,56973
Yemen,11945,2159,9124,662,329592,31154867
Caribbean Netherlands,11661,38,10476,1147,30126,26647
Sint Maarten,11010,89,10905,16,62056,43966
Eritrea,10189,103,10086,0,23693,3662244
Niger,9931,312,8890,729,254538,26083660
St. Vincent Grenadines,9585,123,9454,8,113504,111551
Antigua and Barbuda,9106,146,8954,6,18901,99509
Guinea-Bissau,8947,176,8656,115,145231,2063367
Liberia,8062,294,7766,2,139824,5305117
Chad,7652,194,4874,2584,191341,17413580
Cook Islands,7011,2,6993,16,19690,17571
Saint Kitts and Nevis,6592,46,6537,9,126903,53871
Turks and Caicos,6522,38,6451,33,611527,39741
Sao Tome and Principe,6280,77,6202,1,29036,227679
Palau,5986,9,5976,1,68820,18233
Nauru,4621,1,4609,11,20509,10903
Anguilla,3904,12,3879,13,51382,15230
Macao,3488,120,3357,11,7850,667490
Saint Pierre Miquelon,3452,2,2449,1001,25400,5759
Wallis and Futuna,3427,7,438,2982,20508,10982
Montserrat,1403,8,1376,19,17762,4965
